"","acceptedNameUsage","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedReferences","basisOfRecord","bibliographicCitation","catalogNumber","cloc","collectionCode","collectionID","collectionKey","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","day","depth","depthAccuracy","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","eventDate","eventRemarks","eventTime","family","familyKey","fieldNumber","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","georeferenceProtocol","georeferenceRemarks","georeferenceSources","habitat","higherClassification","higherGeography","hostingOrganizationKey","identificationID","identificationRemarks","identifiedBy","identifier","individualCount","infraspecificEpithet","installationKey","institutionCode","institutionID","institutionKey","isInCluster","ISO2","isSequenced","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","locality","locationID","locationRemarks","lon","modified","month","nameAccordingTo","namePublishedInYear","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","references","rightsHolder","samplingProtocol","scientificName","scientificNameID","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","typeStatus","verbatimCoordinateSystem","vernacularName","waterBody","year","downloadDate"
"1","Xiphophorus nigrensis","Xiphophorus nigrensis Rosen, 1960",2350157,"San luis potosi","CIUDAD VALLES","Rauchenberger,M., K. D. Kallman & D. C. Morizot. 1990. Monophyly and Geography of the Rio Panuco Basin Swordtails (Genus Xiphophorus) with Descriptions of Four New Species. American Museum Novitates. (2975):1-141. American Museum of Natural History, U.S.A.","PRESERVED_SPECIMEN","Soto-Galera, E., L. Alcántara-Soria & J. Paulo-Maya. 2018. Estado actual, identificación de riesgos y propuestas para el manejo de las especies invasoras presentes en las regiones hidrológicas prioritarias, Confluencia de las Huastecas, Media Luna y Cabecera del río de La Laja. Escuela Nacional de Ciencias Biológicas. Instituto Politécnico Nacional. Base de datos SNIB-CONABIO, Proyecto No. LI038, HA026, FM027, FM017, W040, Y026, T027, S115, L051 y P006. Ciudad de México","P4893","Río Coy a 16. 36 km al SE de Ciudad Valles, San luis potosi, CIUDAD VALLES, Mexico, NORTH_AMERICA","ENCB-IPN-P","37",NA,"NORTH_AMERICA",NA,70,"Mexico",161,"5417790df262a41845ea89fe27cdb4c0","ec79bfca-83fc-4f89-baad-9a76d320953b","Estado actual, identificación de riesgos y propuestas para el manejo de las especies invasoras presentes en las regiones hidrológicas prioritarias, confluencia de las Huastecas, Media Luna y Cabecera del río de La Laja",29,0,0,"TipoVegetacion / Otras comunidades leñosas Otros Datos Ejemplar / Capturista: Mario Otros Datos Ejemplar / FechaCapturaEjemplar: 05/09/2011 02:06:37 p. m. Otros Datos Ejemplar / MicroHabitat: Homogéneo con pozas",465,465,29,"2000-01-29",NA,NA,"Poeciliidae",7659,"18","Mexico","2629258497","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84",NA,NA,"Geoposicionador, Magellan Meridian Platinum, 10","Río","Animalia; Chordata; Osteichthyes; Cyprinodontiformes; Poeciliidae; Xiphophorus",NA,"ff90b050-c256-11db-b71b-b8a03c50a862","14768",NA,"Soto-Galera, E.; Paulo-Maya, J.; Alcántara-Soria, L.; Enríquez-Barragán, M. A.; Corona-Santoyo, G. A.","f7dbfdbfe587c5e51fad8bd346696fe8",18,NA,"e081c7d7-2dab-42fd-94c4-9f275767fe7d","ENCB-IPN","17","e89b5741-a9de-46c8-9acf-01e785bc36ab",FALSE,"MX",FALSE,"DD",2629258497,"Animalia",1,"es","2023-08-31T06:54:40.190+00:00","2024-01-25T01:47:47.685+00:00","2024-01-25T01:47:47.685+00:00",21.75,"http://creativecommons.org/licenses/by/4.0/legalcode","Río Coy a 16. 36 km al SE de Ciudad Valles","3385",NA,-98.957778,"2021-03-19T00:00:00.000+00:00",1,"Fricke, Eschmeyer & van der Laan, 2020","0",NA,"f7dbfdbfe587c5e51fad8bd346696fe8",NA,"PRESENT","Cyprinodontiformes",547,NA,"Escuela Nacional de Ciencias Biológicas, Instituto Politécnico Nacional","Xiphophorus","Chordata",44,"Formol al 10%","SNIB-LI038-LI0381806F_SIB2018.10.02-ND","EML","LATIN_AMERICA","MX","ff90b050-c256-11db-b71b-b8a03c50a862","Soto-Galera, E.; Enríquez-Barragán, M. A.; Hernández-Hernández, M. A.; Corona-Santoyo, G. A.; Paulo-Maya, J.; Castro-Hernández, M.",NA,"Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)",NA,"Xiphophorus nigrensis Rosen, 1960","161601","Xiphophorus nigrensis",2350157,"nigrensis",29,"6ee17e6ec2ef97dcd460eeb553a25488",2350157,"ACCEPTED","SPECIES",NA,"Event",NA,"grados minutos segundos","espada pigmea de El Abra, Panuco swordtail, livebearers, espada pigmea El Abra, espada pigmeo el abra",NA,2000,2024-08-29
"2",NA,"Xiphophorus nigrensis Rosen, 1960",2350157,"San Luis Potosi","Tanlajas",NA,"PRESERVED_SPECIMEN","Dean A. Hendrickson, and Adam E. Cohen. 2015. ""Fishes of Texas Project Database (Version 2.0)"", doi:10.17603/C3WC70. Accessed August    06, 2024","FOTX-TNHC_21563","San Luis Potosi, Tanlajas, Mexico, NORTH_AMERICA","Ichthyology Collection",NA,NA,"NORTH_AMERICA",NA,90,"Mexico",226,NA,"ba5b0f3a-73dd-459f-a7f1-9abc327aed00","Fishes of Texas Project",5,NA,NA,NA,NA,NA,5,"1989-01-05","Salinity: F|Gear: Seine|",NA,"Poeciliidae",7659,"Z21563","Mexico","2564908038","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84",NA,NA,NA,NA,NA,"North America|Mexico|San Luis Potosi|Tanlajas","3c6ad080-bdbe-11da-ac59-b8a03c50a862",NA,"Specimen not examined; ID derived from synonymization to GBIF backbone and synonyms in FoTX taxonomy | derived from effort to match GBIF backbone and FoTX synonyms",NA,"44e8ee0f-064f-40c4-878a-e2d0199d6cb0",9,NA,"db7e3f20-3966-4c50-b747-4dfc7b3d3874","University of Texas Biodiversity Collections (UTBC)",NA,NA,TRUE,"MX",FALSE,"DD",2564908038,"Animalia",1,NA,"2024-08-13T23:37:53.902+00:00","2024-08-13T23:54:11.673+00:00","2024-08-13T23:54:11.673+00:00",21.74958,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,-98.957166,NA,1,NA,NA,NA,"44e8ee0f-064f-40c4-878a-e2d0199d6cb0","MinSL: 0|MaxSL: 0|Questionable: No|Current: Yes|Cataloger/Year: AAA|","PRESENT","Cyprinodontiformes",547,"TNHC_21563",NA,NA,"Chordata",44,NA,"FoTX","EML","NORTH_AMERICA","US","3c6ad080-bdbe-11da-ac59-b8a03c50a862","M. Ryan|M. Morris","http://www.fishesoftexas.org/specimen/TNHC_21563",NA,NA,"Xiphophorus nigrensis Rosen, 1960",NA,"Xiphophorus nigrensis",2350157,"nigrensis",5,NA,2350157,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,1989,2024-08-29
"3",NA,"Xiphophorus nigrensis Rosen, 1960",2350157,"San Luis Potosi","Ciudad Valles",NA,"OCCURRENCE",NA,"10558","Nacimiento del Rio Coy, cerca de las Ruinas del Tamuin, SLP., San Luis Potosi, Ciudad Valles, Mexico, NORTH_AMERICA","CNPE",NA,NA,"NORTH_AMERICA",0,NA,"Mexico",308,NA,"8502ed8e-f762-11e1-a439-00145eb45e9a",NA,3,0,0,NA,0,0,3,"1989-01-03",NA,NA,"Poeciliidae",7659,NA,"Mexico","46414828","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84",NA,NA,NA,NA,NA,NA,"b459e790-0d3c-11d9-8431-b8a03c50a862",NA,NA,"Morris, M. & Ryan, M.",NA,NA,NA,"601d6198-f762-11e1-a439-00145eb45e9a","IBUNAM",NA,NA,TRUE,"MX",FALSE,"DD",46414828,"Animalia",1,NA,"2024-08-21T05:26:45.864+00:00","2024-08-21T05:27:11.689+00:00","2024-08-21T05:27:11.689+00:00",21.799999,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Nacimiento del Rio Coy, cerca de las Ruinas del Tamuin, SLP.",NA,NA,-98.900001,NA,1,NA,NA,NA,NA,NA,"PRESENT","Cyprinodontiformes",547,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","LATIN_AMERICA","MX","b459e790-0d3c-11d9-8431-b8a03c50a862","Morris, M. & Ryan, M.",NA,NA,NA,"Xiphophorus nigrensis Rosen, 1960",NA,"Xiphophorus nigrensis",2350157,"nigrensis",3,NA,2350157,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,1989,2024-08-29
"4",NA,"Xiphophorus nigrensis Rosen, 1960",2350157,"San Luis Potosi",NA,NA,"PRESERVED_SPECIMEN",NA,"000017119","Nacimiento of Rio Choy, San Luis Potosi, Mexico, NORTH_AMERICA","Ichthyology Collection",NA,NA,"NORTH_AMERICA",NA,1342,"Mexico",457,NA,"6080b6cc-1c24-41ff-ad7f-0ebe7b56f311",NA,3,NA,NA,NA,NA,NA,3,"1989-01-03",NA,NA,"Poeciliidae",7659,"Z17119","Mexico","1932813165","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84",NA,"NACIMIENTO DEL RIO CHOY, in Spanish. Refined locality from record UNAM FCME PA3128 / 223 / G025 at http://data.gbif.org/occurrences/371018748 (a cyanophite record). UNAM lists coordinates of ""Nacimiento del Rio Choy"" as (21.99, -98.884).",NA,NA,NA,"San Luis Potosi, Mexico","3c6ad080-bdbe-11da-ac59-b8a03c50a862",NA,NA,NA,"54f25a54-9ef9-11e3-abb4-002219aba676",NA,NA,"db7e3f20-3966-4c50-b747-4dfc7b3d3874","TNHC",NA,"c8e1cb04-01ef-4804-a716-11ef204cf41b",TRUE,"MX",FALSE,"DD",1932813165,"Animalia",1,NA,"2024-08-26T07:01:28.024+00:00","2024-08-26T07:02:12.953+00:00","2024-08-26T07:02:12.953+00:00",21.9897,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Nacimiento of Rio Choy",NA,NA,-98.8792,NA,1,NA,NA,NA,"54f25a54-9ef9-11e3-abb4-002219aba676","13 of original 25 re-cataloged as TNHC 25021 and given as gift to UNAM.","PRESENT","Cyprinodontiformes",547,NA,NA,NA,"Chordata",44,"Fluid","TNHC","EML","NORTH_AMERICA","US","3c6ad080-bdbe-11da-ac59-b8a03c50a862","Molly Morris",NA,NA,NA,"Xiphophorus nigrensis Rosen, 1960",NA,"Xiphophorus nigrensis",2350157,"nigrensis",3,NA,2350157,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,1989,2024-08-29
"5",NA,"Xiphophorus nigrensis Rosen, 1960",2350157,"San Luis Potosi",NA,NA,"PRESERVED_SPECIMEN",NA,"000021563","Rio Coy, crossing of Hwy 85, San Luis Potosi, Mexico, NORTH_AMERICA","Ichthyology Collection",NA,NA,"NORTH_AMERICA",NA,90,"Mexico",457,NA,"6080b6cc-1c24-41ff-ad7f-0ebe7b56f311",NA,5,NA,NA,NA,NA,NA,5,"1989-01-05","Old coll. method: : Seine",NA,"Poeciliidae",7659,"Z21563","Mexico","1932817422","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84",NA,NA,NA,NA,NA,"San Luis Potosi, Mexico","3c6ad080-bdbe-11da-ac59-b8a03c50a862",NA,NA,NA,"5506f5f4-9ef9-11e3-abb4-002219aba676",NA,NA,"db7e3f20-3966-4c50-b747-4dfc7b3d3874","TNHC",NA,"c8e1cb04-01ef-4804-a716-11ef204cf41b",TRUE,"MX",FALSE,"DD",1932817422,"Animalia",1,NA,"2024-08-26T07:01:28.024+00:00","2024-08-26T07:02:25.118+00:00","2024-08-26T07:02:25.118+00:00",21.7496,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Rio Coy, crossing of Hwy 85",NA,NA,-98.9572,NA,1,NA,NA,NA,"5506f5f4-9ef9-11e3-abb4-002219aba676",NA,"PRESENT","Cyprinodontiformes",547,NA,NA,NA,"Chordata",44,"Fluid","TNHC","EML","NORTH_AMERICA","US","3c6ad080-bdbe-11da-ac59-b8a03c50a862","M. Ryan|M. Morris",NA,NA,NA,"Xiphophorus nigrensis Rosen, 1960",NA,"Xiphophorus nigrensis",2350157,"nigrensis",5,NA,2350157,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,1989,2024-08-29
"7",NA,"Xiphophorus nigrensis Rosen, 1960",2350157,"San Luis Potosi","Tamuin",NA,"PRESERVED_SPECIMEN","Dean A. Hendrickson, and Adam E. Cohen. 2015. ""Fishes of Texas Project Database (Version 2.0)"", doi:10.17603/C3WC70. Accessed August    06, 2024","FOTX-TNHC_25021","San Luis Potosi, Tamuin, Mexico, NORTH_AMERICA","Ichthyology Collection",NA,NA,"NORTH_AMERICA",NA,1342,"Mexico",226,NA,"ba5b0f3a-73dd-459f-a7f1-9abc327aed00","Fishes of Texas Project",3,NA,NA,NA,NA,NA,3,"1989-01-03","Salinity: F|",NA,"Poeciliidae",7659,"Z17119","Mexico","2564911529","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84",NA,NA,NA,NA,NA,"North America|Mexico|San Luis Potosi|Tamuin","3c6ad080-bdbe-11da-ac59-b8a03c50a862",NA,"Specimen not examined; ID derived from synonymization to GBIF backbone and synonyms in FoTX taxonomy | derived from effort to match GBIF backbone and FoTX synonyms",NA,"72b1c789-cd67-4a00-8490-2d04f4336d6c",13,NA,"db7e3f20-3966-4c50-b747-4dfc7b3d3874","University of Texas Biodiversity Collections (UTBC)",NA,NA,TRUE,"MX",FALSE,"DD",2564911529,"Animalia",1,NA,"2024-08-13T23:37:53.902+00:00","2024-08-13T23:54:20.014+00:00","2024-08-13T23:54:20.014+00:00",21.98965,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,-98.879237,NA,1,NA,NA,NA,"72b1c789-cd67-4a00-8490-2d04f4336d6c","MinSL: 0|MaxSL: 0|Questionable: No|Current: Yes|Cataloger/Year: CKM|Primary Remarks: Originally part of TNHC 17119; given as gift to UNAM-Sep97.|","PRESENT","Cyprinodontiformes",547,"TNHC_25021",NA,NA,"Chordata",44,NA,"FoTX","EML","NORTH_AMERICA","US","3c6ad080-bdbe-11da-ac59-b8a03c50a862","Molly Morris","http://www.fishesoftexas.org/specimen/TNHC_25021",NA,NA,"Xiphophorus nigrensis Rosen, 1960",NA,"Xiphophorus nigrensis",2350157,"nigrensis",3,NA,2350157,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,1989,2024-08-29
"8","Xiphophorus nigrensis","Xiphophorus nigrensis Rosen, 1960",2350157,"San luis potosi","CIUDAD VALLES",NA,"PRESERVED_SPECIMEN","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","10558","Nacimiento del Río Coy, cerca de las Ruinas del Tamuin, SLP., San luis potosi, CIUDAD VALLES, Mexico, NORTH_AMERICA","CNPE","1692",NA,"NORTH_AMERICA",NA,70,"Mexico",7,"efe5b7f0301395bd086651e5b20b10f4","f6cc0fcc-1605-4bd4-bbea-dd12f697a2ba","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM",3,NA,NA,NA,NA,NA,3,"1989-01-03",NA,NA,"Poeciliidae",7659,"14-99","Mexico","4169197113","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84",NA,NA,NA,NA,"Animalia; Chordata; Osteichthyes; Cyprinodontiformes; Poeciliidae; Xiphophorus",NA,"ff90b050-c256-11db-b71b-b8a03c50a862",NA,NA,"Morris, M.; Ryan, M.","d310789b48f8b4b82de9da406c9000ac",13,NA,"e081c7d7-2dab-42fd-94c4-9f275767fe7d","IBUNAM","20","ceac6f9f-a4d0-453c-a232-c864bd10feaa",TRUE,"MX",FALSE,"DD",4169197113,"Animalia",1,"es","2023-09-15T08:35:14.547+00:00","2024-01-25T02:53:10.251+00:00","2024-01-25T02:53:10.251+00:00",21.8,"http://creativecommons.org/licenses/by/4.0/legalcode","Nacimiento del Río Coy, cerca de las Ruinas del Tamuin, SLP.",NA,NA,-98.9,"2022-12-02T00:00:00.000+00:00",1,"Fricke, Eschmeyer & van der Laan, 2020","0",NA,"d310789b48f8b4b82de9da406c9000ac",NA,"PRESENT","Cyprinodontiformes",547,NA,"Instituto de Biología, Universidad Nacional Autónoma de México","Xiphophorus","Chordata",44,"En alcohol etílico 70%","SNIB-KE002-KE0022012F-vertebrados","EML","LATIN_AMERICA","MX","ff90b050-c256-11db-b71b-b8a03c50a862","Morris, M.; Ryan, M.",NA,"Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)",NA,"Xiphophorus nigrensis Rosen, 1960","4187","Xiphophorus nigrensis",2350157,"nigrensis",3,"b107b222e0e6cd61bbc85c796f6ea678",2350157,"ACCEPTED","SPECIES",NA,"Event",NA,NA,"espada pigmea El Abra, espada pigmeo el abra",NA,1989,2024-08-29
"49",NA,"Xiphophorus nigrensis Rosen, 1960",2350157,"San Luis Potosi",NA,NA,"PRESERVED_SPECIMEN",NA,"177301","Nacimiento del Rio Choy, 4 km N of Hotel Taninul, 3 km N of road from Valles-Tampico hwy (rt 110), San Luis Potosi, Mexico, NORTH_AMERICA","ummz_fish",NA,"63bd995d-b48c-425d-bb55-04ce8477116d","NORTH_AMERICA",NA,NA,"Mexico",341,NA,"59825263-9f89-43a9-8f22-c22a6a53b8fc","Fish",19,NA,NA,NA,NA,NA,19,"1957-01-19",NA,"-1600","Poeciliidae",7659,"Z177301","Mexico","1889079471","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84",NA,NA,NA,NA,NA,NA,"a5486e02-d249-4809-9273-deac47fb11e0",NA,NA,NA,"122826c6-d42c-4d7f-a80b-af3e84b3d799",NA,"nigrensis","cfbb523a-883c-48db-8258-dcfe32b11d64","UMMZ",NA,"2a508411-2acd-45df-8a8b-00094ac65f87",FALSE,"MX",FALSE,"DD",1889079471,"Animalia",1,NA,"2024-08-01T04:03:06.649+00:00","2024-08-01T04:07:53.189+00:00","2024-08-01T04:07:53.189+00:00",22.083333,"http://creativecommons.org/licenses/by/4.0/legalcode","Nacimiento del Rio Choy, 4 km N of Hotel Taninul, 3 km N of road from Valles-Tampico hwy (rt 110)",NA,"* M Gordon",-98.966667,NA,1,NA,NA,NA,"122826c6-d42c-4d7f-a80b-af3e84b3d799","Carter Gilbert","PRESENT","Cyprinodontiformes",547,NA,NA,NA,"Chordata",44,"EtOH - 1",NA,"EML","NORTH_AMERICA","US","6ea87510-0561-11d8-b851-b8a03c50a862","DE Rosen, MS Gordon*",NA,NA,"seine","Xiphophorus pygmaeus nigrensis Rosen, 1960",NA,"Xiphophorus nigrensis",2350157,"pygmaeus",19,NA,6165462,"SYNONYM","SUBSPECIES","Holotype= Xiphophorus nigrensis.  Dig. imaged Nov. 2014.",NA,"HOLOTYPE",NA,NA,NA,1957,2024-08-29
"52","Xiphophorus nigrensis","Xiphophorus nigrensis Rosen, 1960",2350157,"San luis potosi","CIUDAD VALLES",NA,"PRESERVED_SPECIMEN","Soto-Galera, E., L. Alcántara-Soria & J. Paulo-Maya. 2018. Estado actual, identificación de riesgos y propuestas para el manejo de las especies invasoras presentes en las regiones hidrológicas prioritarias, Confluencia de las Huastecas, Media Luna y Cabecera del río de La Laja. Escuela Nacional de Ciencias Biológicas. Instituto Politécnico Nacional. Base de datos SNIB-CONABIO, Proyecto No. LI038, HA026, FM027, FM017, W040, Y026, T027, S115, L051 y P006. Ciudad de México","UMMZ 202825","Nacimiento del Rio Choy , 4 Km N of Hotel Taninul, 3 Km N of road from Valles-Tampico hwy (rt 110), San luis potosi, CIUDAD VALLES, Mexico, NORTH_AMERICA","UMMZ","3679","ddfcd903-0d30-4d66-abb1-9a170b877391","NORTH_AMERICA",NA,70,"Mexico",161,"5417790df262a41845ea89fe27cdb4c0","ec79bfca-83fc-4f89-baad-9a76d320953b","Estado actual, identificación de riesgos y propuestas para el manejo de las especies invasoras presentes en las regiones hidrológicas prioritarias, confluencia de las Huastecas, Media Luna y Cabecera del río de La Laja",19,0,0,"Otros Datos Ejemplar / Capturista: lilian Otros Datos Ejemplar / FechaCapturaEjemplar: 05/09/2011 02:06:37 p. m.",0,0,19,"1957-01-19",NA,NA,"Poeciliidae",7659,"NO DISPONIBLE","Mexico","2629253597","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84",NA,NA,NA,"Río","Animalia; Chordata; Osteichthyes; Cyprinodontiformes; Poeciliidae; Xiphophorus",NA,"ff90b050-c256-11db-b71b-b8a03c50a862","16390",NA,"Miller, R. R.","fed36d856ad98bc9dd38e87c299d9cc8",25,NA,"e081c7d7-2dab-42fd-94c4-9f275767fe7d","UMMZ","559","2a508411-2acd-45df-8a8b-00094ac65f87",TRUE,"MX",FALSE,"DD",2629253597,"Animalia",1,"es","2023-08-31T06:54:40.190+00:00","2024-01-25T01:47:48.371+00:00","2024-01-25T01:47:48.371+00:00",22.091667,"http://creativecommons.org/licenses/by/4.0/legalcode","Nacimiento del Rio Choy , 4 Km N of Hotel Taninul, 3 Km N of road from Valles-Tampico hwy (rt 110)","3612",NA,-98.975,"2021-03-19T00:00:00.000+00:00",1,"Fricke, Eschmeyer & van der Laan, 2020","0",NA,"fed36d856ad98bc9dd38e87c299d9cc8",NA,"PRESENT","Cyprinodontiformes",547,NA,"University of Michigan, Museum of Zoology","Xiphophorus","Chordata",44,"Alcohol al 70%","SNIB-LI038-LI0381806F_SIB2018.10.02-ND","EML","LATIN_AMERICA","MX","ff90b050-c256-11db-b71b-b8a03c50a862","Rosen, D. E.; Gordon, M.",NA,"Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)",NA,"Xiphophorus nigrensis Rosen, 1960","161601","Xiphophorus nigrensis",2350157,"nigrensis",19,"6ee17e6ec2ef97dcd460eeb553a25488",2350157,"ACCEPTED","SPECIES",NA,"Event",NA,"grados minutos segundos","espada pigmea de El Abra, Panuco swordtail, livebearers, espada pigmea El Abra, espada pigmeo el abra",NA,1957,2024-08-29
"54",NA,"Xiphophorus nigrensis Rosen, 1960",2350157,"San Luis Potosi",NA,NA,"PRESERVED_SPECIMEN",NA,"96571","Rio Floridae spring, 30 km S of Ciudad Valles, San Luis Potosi, Mexico, NORTH_AMERICA","Fish",NA,"229dd7f9-12ac-4ecb-80ad-bd3c74892ff5","NORTH_AMERICA",NA,NA,"Mexico",562,NA,"eccf4b09-f0c8-462d-a48c-41a7ce36815a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poeciliidae",7659,"Z96571","Mexico","624147898","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84","FishNet",NA,NA,NA,NA,"San Luis Potosi, Mexico, North America","8483a1f0-1032-11db-ae00-b8a03c50a862",NA,NA,NA,"C196F265-3AB0-4401-9AA5-BF620250990B",NA,NA,"12fadca0-d638-416d-8cee-6f29ef37a249","UF",NA,"ab8b25c4-f95e-437b-82df-5aed3c9031ec",FALSE,"MX",FALSE,"DD",624147898,"Animalia",1,NA,"2024-08-26T04:01:29.844+00:00","2024-08-26T04:11:14.152+00:00","2024-08-26T04:11:14.152+00:00",21.712569,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Rio Floridae spring, 30 km S of Ciudad Valles",NA,NA,-99.016667,"1994-04-06T00:00:00.000+00:00",NA,NA,NA,NA,"C196F265-3AB0-4401-9AA5-BF620250990B",NA,"PRESENT","Cyprinodontiformes",547,NA,NA,NA,"Chordata",44,"EtOH - 1",NA,"EML","NORTH_AMERICA","US","8483a1f0-1032-11db-ae00-b8a03c50a862","Kratochvil, Gary",NA,NA,NA,"Xiphophorus nigrensis Rosen, 1960",NA,"Xiphophorus nigrensis",2350157,"nigrensis",NA,NA,2350157,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,2024-08-29
